
   id asn_v4 asn_v6 country     status     
===========================================
    1 206238 206238   nl       Connected   
    2   1136   1136   gu       Abandoned   
    3   1136   1136   nl       Connected   
    4   3265   3265   nl       Abandoned   
    5   3265   3265   nl       Abandoned   
    6  50266      -   nl     Disconnected  
    7  33915      -   nl       Connected   
    8  33915      -   nl       Connected   
    9   3333   3333   nl     Disconnected  
   10      -      -   nl       Abandoned   
   11  12333      -   ch       Abandoned   
   12      -      -   nl       Abandoned   
   13   3265   3265   nl       Abandoned   
   14   3269      -   it       Connected   
   15   3333   3333   nl       Connected   
   16   6830      -   nl       Abandoned   
   17   3333   3333   nl       Abandoned   
   18  33915      -   nl       Connected   
   19      -      -   nl       Abandoned   
   20   1136   1136   nl       Connected   
   21   1136      -   nl       Abandoned   
   22      -      -   nl       Abandoned   
   23      -      -   nl       Abandoned   
   24  12353  12353   pt       Connected   
   25  21334  21334   hu       Abandoned   
   26   1136      -   nl       Connected   
   27   6830      -   nl       Abandoned   
   28  14593  14593   us       Connected   
   29      -      -   nl       Abandoned   
   30  20115      -   us       Connected   
   31      -      -   nl       Abandoned   
   32  20001  20001   us       Connected   
   33  35492  35492   at       Abandoned   
   34   6830      -   nl       Abandoned   
   35      -      -   nl       Abandoned   
   36  33915      -   nl       Abandoned   
   37 213279 213279   nl       Connected   
   38      -   1136   nl       Connected   
   39  15557  15557   fr       Connected   
   40   2119      -   se       Connected   
   41  12322  12322   fr       Connected   
   42   1136      -   nl       Connected   
   43 199422 199422   fr       Connected   
   44  60432      -   it       Connected   
   45  12322  12322   fr       Connected   
   46   3320   3320   de       Connected   
   47  20815      -   es       Connected   
   48   3257      -   gb       Abandoned   
   49      -      -   fr       Abandoned   
   50      -      -   nr       Abandoned   
   51   7418      -   cl       Abandoned   
   52  29695  29695   no       Abandoned   
   53      -      -   ch       Abandoned   
   54  51375      -   bh       Connected   
   55  20712      -   gb       Connected   
   56   3320   3320   de       Abandoned   
   57  61157  61157   de     Disconnected  
   58      -   6734   it       Abandoned   
   59   8820   8820   de       Abandoned   
   60   3303   3303   ch       Connected   
   61 197071      -   de       Abandoned   
