id,type,description,status
48195994,ping,US Ping measurement to 185.136.96.1,Stopped
48195997,ping,Ping test from Ecuador to 43.132.86.2,Stopped
48196000,ping,Ping test from Ecuador to 43.152.54.100,Stopped
48196010,ping,Active geolocation of 134.70.80.3/32,Stopped
48196011,ping,Active geolocation of 151.95.220.89/32,Stopped
48196013,ping,Active geolocation of 149.19.108.67/32,Stopped
48196015,ping,Active geolocation of 173.194.222.100/32,Stopped
48196016,ping,Active geolocation of 4.69.219.34/32,Stopped
48196017,ping,Active geolocation of 198.32.242.254/32,Stopped
48196019,ping,Active geolocation of 109.255.255.254/32,Stopped
48196021,ping,Active geolocation of 103.167.92.245/32,Stopped
48196022,ping,Active geolocation of 185.100.245.157/32,Stopped
48196023,ping,Active geolocation of 213.178.196.86/32,Stopped
48196024,ping,Active geolocation of 72.129.17.150/32,Stopped
48196025,ping,Active geolocation of 189.126.8.1/32,Stopped
48196026,ping,Active geolocation of 142.254.237.45/32,Stopped
48196028,ping,Active geolocation of 203.161.184.116/32,Stopped
48196029,ping,Active geolocation of 27.111.228.218/32,Stopped
48196032,ping,Active geolocation of 34.102.136.180/32,Stopped
48196033,ping,Active geolocation of 193.160.39.1/32,Stopped
48196034,ping,Active geolocation of 74.208.138.148/32,Stopped
48196035,ping,Active geolocation of 185.136.96.98/32,Stopped
48196036,ping,Active geolocation of 220.186.255.10/32,Stopped
48196039,ping,Active geolocation of 63.250.38.3/32,Stopped
48196043,ping,Ping test from Peru to 43.132.86.2,Stopped
48196046,ping,Ping test from Peru to 43.152.54.100,Stopped
48196051,ping,Active geolocation of 47.208.164.114/32,Stopped
48196055,ping,BG Ping measurement to 185.136.96.1,Stopped
48196065,ping,Ping test from United States of America to 43.132.86.2,Stopped
48196068,ping,Ping test from United States of America to 43.152.54.100,Stopped
48196078,ping,Ping test from ID probes to 1.1.1.1,Stopped
48196079,ping,Ping test from ID probes to 8.8.8.8,Stopped
48196080,ping,Ping test from ID probes to ns-18.awsdns-02.com,Stopped
48196081,ping,Ping test from ID probes to a1-260.akam.net,Stopped
48196082,ping,Ping test from Canada to 43.132.86.2,Stopped
48196083,ping,Ping test from Canada to 43.152.54.100,Stopped
48196084,ping,HK Ping measurement to 185.136.96.1,Stopped
48196085,ping,Ping test from Mexico to 43.132.86.2,Stopped
48196086,ping,Ping test from Mexico to 43.152.54.100,Stopped
48196087,ping,SG Ping measurement to 185.136.96.1,Stopped
48196088,ping,Ping test from Vietnam to 43.132.86.2,Stopped
48196089,ping,Ping test from Vietnam to 43.152.54.100,Stopped
48196090,ping,Ping test from Laos to 43.132.86.2,Stopped
48196091,ping,Ping test from Laos to 43.152.54.100,Stopped
48196092,ping,Ping test from PH probes to 1.1.1.1,Stopped
48196093,ping,Ping test from PH probes to 8.8.8.8,Stopped
48196094,ping,AU Ping measurement to 185.136.96.1,Stopped
48196095,ping,Ping test from PH probes to ns-18.awsdns-02.com,Stopped
48196096,ping,Ping test from PH probes to a1-260.akam.net,Stopped
48196097,ping,Ping test from Thailand to 43.132.86.2,Stopped
