Date,From,From IP,To,To_IP,Ping Time,TTL
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,65.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,59.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,45.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,36.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,50.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,54.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,48.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,30.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,45.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,43.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,30.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,61.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,70.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,42.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,61.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,47.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,31.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,59.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,71.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,60.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,57.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,59.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,104.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,32.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,57.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,62.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,35.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,51.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,31.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,95.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,43.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,38.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,61.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,61.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,30.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,75.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,34.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,64.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,50.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,62.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,30.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,57.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,70.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,72.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,87.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,30.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,45.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,58.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,54.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,66.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,52.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,43.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,58.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,54.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,94.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,69.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,65.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,47.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,57.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,54.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,34.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,56.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,70.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,70.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,88.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,68.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,54.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,59.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,66.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,63.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,74.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,35.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,54.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,35.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,68.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,50.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,31.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,38.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,59.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,47.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,60.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,44.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,42.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,30.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,37.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,59.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,35.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,71.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,76.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,45.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,58.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,45.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,24.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,51.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,54.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,33.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,49.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,65.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,35.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,62.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,101.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,101.0,61
