Date,From,From IP,To,To_IP,Ping Time,TTL
8/3/2023,ping_BC,Unknown (IP of UCSD wifi),Unknown,128.54.70.238,11.937,61
8/3/2023,ping_BC,Unknown (IP of UCSD wifi),Unknown,128.54.70.238,12.207,61
8/3/2023,ping_BC,Unknown (IP of UCSD wifi),Unknown,128.54.70.238,12.307,61
8/3/2023,ping_BC,Unknown (IP of UCSD wifi),Unknown,128.54.70.238,7.914,61
8/3/2023,ping_BC,Unknown (IP of UCSD wifi),Unknown,128.54.70.238,12.128,61
8/3/2023,ping_BC,Unknown (IP of UCSD wifi),Unknown,128.54.70.238,4.592,61
8/3/2023,ping_BC,Unknown (IP of UCSD wifi),Unknown,128.54.70.238,12.184,61
8/3/2023,ping_BC,Unknown (IP of UCSD wifi),Unknown,128.54.70.238,12.282,61
8/3/2023,ping_BC,Unknown (IP of UCSD wifi),Unknown,128.54.70.238,7.121,61
8/3/2023,ping_BC,Unknown (IP of UCSD wifi),Unknown,128.54.70.238,12.180,61
8/3/2023,ping_BC,Unknown (IP of UCSD wifi),Unknown,128.54.70.238,12.079,61
8/3/2023,ping_BC,Unknown (IP of UCSD wifi),Unknown,128.54.70.238,4.287,61
8/3/2023,ping_BC,Unknown (IP of UCSD wifi),Unknown,128.54.70.238,12.469,61
8/3/2023,ping_BC,Unknown (IP of UCSD wifi),Unknown,128.54.70.238,9.458,61
8/3/2023,ping_BC,Unknown (IP of UCSD wifi),Unknown,128.54.70.238,11.484,61
8/3/2023,ping_BC,Unknown (IP of UCSD wifi),Unknown,128.54.70.238,12.329,61
8/3/2023,ping_BC,Unknown (IP of UCSD wifi),Unknown,128.54.70.238,12.064,61
8/3/2023,ping_BC,Unknown (IP of UCSD wifi),Unknown,128.54.70.238,17.442,61
8/3/2023,ping_BC,Unknown (IP of UCSD wifi),Unknown,128.54.70.238,12.022,61
8/3/2023,ping_BC,Unknown (IP of UCSD wifi),Unknown,128.54.70.238,9.574,61
8/3/2023,ping_BC,Unknown (IP of UCSD wifi),Unknown,128.54.70.238,12.019,61
8/3/2023,ping_BC,Unknown (IP of UCSD wifi),Unknown,128.54.70.238,22.084,61
8/3/2023,ping_BC,Unknown (IP of UCSD wifi),Unknown,128.54.70.238,11.810,61
8/3/2023,ping_BC,Unknown (IP of UCSD wifi),Unknown,128.54.70.238,12.101,61
8/3/2023,ping_BC,Unknown (IP of UCSD wifi),Unknown,128.54.70.238,6.760,61
8/3/2023,ping_BC,Unknown (IP of UCSD wifi),Unknown,128.54.70.238,12.088,61
8/3/2023,ping_BC,Unknown (IP of UCSD wifi),Unknown,128.54.70.238,12.175,61
8/3/2023,ping_BC,Unknown (IP of UCSD wifi),Unknown,128.54.70.238,12.553,61
8/3/2023,ping_BC,Unknown (IP of UCSD wifi),Unknown,128.54.70.238,12.163,61
8/3/2023,ping_BC,Unknown (IP of UCSD wifi),Unknown,128.54.70.238,12.110,61
8/3/2023,ping_BC,Unknown (IP of UCSD wifi),Unknown,128.54.70.238,11.570,61
8/3/2023,ping_BC,Unknown (IP of UCSD wifi),Unknown,128.54.70.238,4.294,61
8/3/2023,ping_BC,Unknown (IP of UCSD wifi),Unknown,128.54.70.238,13.171,61
8/3/2023,ping_BC,Unknown (IP of UCSD wifi),Unknown,128.54.70.238,11.847,61
8/3/2023,ping_BC,Unknown (IP of UCSD wifi),Unknown,128.54.70.238,11.937,61
8/3/2023,ping_BC,Unknown (IP of UCSD wifi),Unknown,128.54.70.238,9.307,61
8/3/2023,ping_BC,Unknown (IP of UCSD wifi),Unknown,128.54.70.238,12.257,61
8/3/2023,ping_BC,Unknown (IP of UCSD wifi),Unknown,128.54.70.238,4.315,61
8/3/2023,ping_BC,Unknown (IP of UCSD wifi),Unknown,128.54.70.238,4.476,61
8/3/2023,ping_BC,Unknown (IP of UCSD wifi),Unknown,128.54.70.238,12.052,61
8/3/2023,ping_BC,Unknown (IP of UCSD wifi),Unknown,128.54.70.238,4.250,61
8/3/2023,ping_BC,Unknown (IP of UCSD wifi),Unknown,128.54.70.238,7.955,61
8/3/2023,ping_BC,Unknown (IP of UCSD wifi),Unknown,128.54.70.238,12.105,61
8/3/2023,ping_BC,Unknown (IP of UCSD wifi),Unknown,128.54.70.238,12.150,61
8/3/2023,ping_BC,Unknown (IP of UCSD wifi),Unknown,128.54.70.238,12.474,61
8/3/2023,ping_BC,Unknown (IP of UCSD wifi),Unknown,128.54.70.238,12.001,61
8/3/2023,ping_BC,Unknown (IP of UCSD wifi),Unknown,128.54.70.238,10.200,61
8/3/2023,ping_BC,Unknown (IP of UCSD wifi),Unknown,128.54.70.238,11.434,61
8/3/2023,ping_BC,Unknown (IP of UCSD wifi),Unknown,128.54.70.238,12.233,61
8/3/2023,ping_BC,Unknown (IP of UCSD wifi),Unknown,128.54.70.238,13.140,61
8/3/2023,ping_BC,Unknown (IP of UCSD wifi),Unknown,128.54.70.238,9.625,61
8/3/2023,ping_BC,Unknown (IP of UCSD wifi),Unknown,128.54.70.238,7.489,61
8/3/2023,ping_BC,Unknown (IP of UCSD wifi),Unknown,128.54.70.238,12.141,61
8/3/2023,ping_BC,Unknown (IP of UCSD wifi),Unknown,128.54.70.238,12.169,61
8/3/2023,ping_BC,Unknown (IP of UCSD wifi),Unknown,128.54.70.238,12.017,61
8/3/2023,ping_BC,Unknown (IP of UCSD wifi),Unknown,128.54.70.238,12.615,61
8/3/2023,ping_BC,Unknown (IP of UCSD wifi),Unknown,128.54.70.238,12.460,61
8/3/2023,ping_BC,Unknown (IP of UCSD wifi),Unknown,128.54.70.238,3.893,61
8/3/2023,ping_BC,Unknown (IP of UCSD wifi),Unknown,128.54.70.238,12.112,61
8/3/2023,ping_BC,Unknown (IP of UCSD wifi),Unknown,128.54.70.238,13.289,61
8/3/2023,ping_BC,Unknown (IP of UCSD wifi),Unknown,128.54.70.238,12.151,61
8/3/2023,ping_BC,Unknown (IP of UCSD wifi),Unknown,128.54.70.238,12.008,61
8/3/2023,ping_BC,Unknown (IP of UCSD wifi),Unknown,128.54.70.238,10.161,61
8/3/2023,ping_BC,Unknown (IP of UCSD wifi),Unknown,128.54.70.238,12.188,61
8/3/2023,ping_BC,Unknown (IP of UCSD wifi),Unknown,128.54.70.238,12.100,61
8/3/2023,ping_BC,Unknown (IP of UCSD wifi),Unknown,128.54.70.238,4.313,61
8/3/2023,ping_BC,Unknown (IP of UCSD wifi),Unknown,128.54.70.238,4.298,61
8/3/2023,ping_BC,Unknown (IP of UCSD wifi),Unknown,128.54.70.238,6.877,61
8/3/2023,ping_BC,Unknown (IP of UCSD wifi),Unknown,128.54.70.238,12.076,61
8/3/2023,ping_BC,Unknown (IP of UCSD wifi),Unknown,128.54.70.238,12.047,61
8/3/2023,ping_BC,Unknown (IP of UCSD wifi),Unknown,128.54.70.238,4.249,61
8/3/2023,ping_BC,Unknown (IP of UCSD wifi),Unknown,128.54.70.238,12.107,61
8/3/2023,ping_BC,Unknown (IP of UCSD wifi),Unknown,128.54.70.238,7.433,61
8/3/2023,ping_BC,Unknown (IP of UCSD wifi),Unknown,128.54.70.238,11.511,61
8/3/2023,ping_BC,Unknown (IP of UCSD wifi),Unknown,128.54.70.238,12.282,61
8/3/2023,ping_BC,Unknown (IP of UCSD wifi),Unknown,128.54.70.238,10.793,61
8/3/2023,ping_BC,Unknown (IP of UCSD wifi),Unknown,128.54.70.238,4.398,61
8/3/2023,ping_BC,Unknown (IP of UCSD wifi),Unknown,128.54.70.238,12.084,61
8/3/2023,ping_BC,Unknown (IP of UCSD wifi),Unknown,128.54.70.238,11.427,61
8/3/2023,ping_BC,Unknown (IP of UCSD wifi),Unknown,128.54.70.238,12.060,61
8/3/2023,ping_BC,Unknown (IP of UCSD wifi),Unknown,128.54.70.238,11.978,61
