Date,From,From IP,To,To_IP,Ping Time,TTL
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,192.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,148.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,122.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,174.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,176.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,149.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,162.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,112.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,139.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,118.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,121.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,143.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,160.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,131.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,259.0,61
8/3/2023,ping_AB,Unknown (IP of mobile hotspot),Unknown,107.77.229.143,115.0,61
7/3/2023,ping_AC,Unknown (IP of mobile hotspot),ieng6.ucsd.edu,128.54.70.238,121.0,48
7/3/2023,ping_AC,Unknown (IP of mobile hotspot),ieng6.ucsd.edu,128.54.70.238,120.0,48
8/3/2023,ping_BC,Unknown (IP of UCSD wifi),Unknown,128.54.70.238,26.951,61
8/3/2023,ping_BC,Unknown (IP of UCSD wifi),Unknown,128.54.70.238,25.968,61
8/3/2023,ping_BC,Unknown (IP of UCSD wifi),Unknown,128.54.70.238,37.387,61
8/3/2023,ping_BC,Unknown (IP of UCSD wifi),Unknown,128.54.70.238,27.73,61
8/3/2023,ping_BC,Unknown (IP of UCSD wifi),Unknown,128.54.70.238,34.203,61
8/3/2023,ping_BC,Unknown (IP of UCSD wifi),Unknown,128.54.70.238,26.339,61
