Date,From,From IP,To,To_IP,Ping Time,TTL
5/30/2023,aman-near-ralphs,70.95.167.232,ucsd.edu,75.2.44.127,49.129,119
5/30/2023,aman-near-ralphs,70.95.167.232,ucsd.edu,75.2.44.127,23.141,119
5/30/2023,aman-near-ralphs,70.95.167.232,ucsd.edu,75.2.44.127,38.872,119
5/30/2023,aman-near-ralphs,70.95.167.232,ucsd.edu,75.2.44.127,53.341,119
5/30/2023,aman-near-ralphs,70.95.167.232,ucsd.edu,75.2.44.127,155.506,119
5/30/2023,aman-near-ralphs,70.95.167.232,ucsd.edu,75.2.44.127,61.235,119
5/30/2023,aman-near-ralphs,70.95.167.232,ucsd.edu,75.2.44.127,16.991,119
5/30/2023,aman-near-ralphs,70.95.167.232,ucsd.edu,75.2.44.127,18.913,119
5/30/2023,aman-near-ralphs,70.95.167.232,ucsd.edu,75.2.44.127,20.285,119
5/30/2023,aman-near-ralphs,70.95.167.232,ucsd.edu,75.2.44.127,19.046,119
5/30/2023,aman-near-ralphs,70.95.167.232,ucsd.edu,75.2.44.127,21.614,119
5/30/2023,aman-near-ralphs,70.95.167.232,ucsd.edu,75.2.44.127,20.337,119
5/30/2023,aman-near-ralphs,70.95.167.232,ucsd.edu,75.2.44.127,16.508,119
5/30/2023,aman-near-ralphs,70.95.167.232,ucsd.edu,75.2.44.127,20.316,119
5/30/2023,aman-near-ralphs,70.95.167.232,ucsd.edu,75.2.44.127,17.028,119
5/30/2023,aman-near-ralphs,70.95.167.232,ieng6.ucsd.edu,128.54.70.238,52.242,50
5/30/2023,aman-near-ralphs,70.95.167.232,ieng6.ucsd.edu,128.54.70.238,21.236,50
5/30/2023,aman-near-ralphs,70.95.167.232,ieng6.ucsd.edu,128.54.70.238,464.893,50
5/30/2023,aman-near-ralphs,70.95.167.232,ieng6.ucsd.edu,128.54.70.238,67.659,50
5/30/2023,aman-near-ralphs,70.95.167.232,ieng6.ucsd.edu,128.54.70.238,102.715,50
5/30/2023,aman-near-ralphs,70.95.167.232,ieng6.ucsd.edu,128.54.70.238,27.931,50
5/30/2023,aman-near-ralphs,70.95.167.232,ieng6.ucsd.edu,128.54.70.238,22.566,50
5/30/2023,aman-near-ralphs,70.95.167.232,ieng6.ucsd.edu,128.54.70.238,23.527,50
5/30/2023,aman-near-ralphs,70.95.167.232,ieng6.ucsd.edu,128.54.70.238,20.220,50
5/30/2023,aman-near-ralphs,70.95.167.232,ieng6.ucsd.edu,128.54.70.238,19.908,50
5/30/2023,aman-near-ralphs,70.95.167.232,ieng6.ucsd.edu,128.54.70.238,23.289,50
5/30/2023,aman-near-ralphs,70.95.167.232,ieng6.ucsd.edu,128.54.70.238,21.289,50
5/30/2023,aman-near-ralphs,70.95.167.232,ieng6.ucsd.edu,128.54.70.238,20.309,50
5/30/2023,aman-near-ralphs,70.95.167.232,ieng6.ucsd.edu,128.54.70.238,23.123,50
5/30/2023,aman-near-ralphs,70.95.167.232,ieng6.ucsd.edu,128.54.70.238,21.390,50
5/30/2023,aman-near-ralphs,70.95.167.232,ucsd.edu,75.2.44.127,58.632,119
5/30/2023,aman-near-ralphs,70.95.167.232,ucsd.edu,75.2.44.127,25.004,119
5/30/2023,aman-near-ralphs,70.95.167.232,ucsd.edu,75.2.44.127,19.510,119
5/30/2023,aman-near-ralphs,70.95.167.232,ucsd.edu,75.2.44.127,18.592,119
5/30/2023,aman-near-ralphs,70.95.167.232,ucsd.edu,75.2.44.127,20.637,119
5/30/2023,aman-near-ralphs,70.95.167.232,ucsd.edu,75.2.44.127,20.546,119
5/30/2023,aman-near-ralphs,70.95.167.232,ucsd.edu,75.2.44.127,16.850,119
5/30/2023,aman-near-ralphs,70.95.167.232,ucsd.edu,75.2.44.127,20.315,119
5/30/2023,aman-near-ralphs,70.95.167.232,ucsd.edu,75.2.44.127,19.437,119
5/30/2023,aman-near-ralphs,70.95.167.232,ucsd.edu,75.2.44.127,19.869,119
5/30/2023,aman-near-ralphs,70.95.167.232,ucsd.edu,75.2.44.127,21.793,119
5/30/2023,aman-near-ralphs,70.95.167.232,ucsd.edu,75.2.44.127,17.723,119
5/30/2023,aman-near-ralphs,70.95.167.232,ucsd.edu,75.2.44.127,158.983,119
5/30/2023,aman-near-ralphs,70.95.167.232,ucsd.edu,75.2.44.127,85.844,119
5/30/2023,aman-near-ralphs,70.95.167.232,ucsd.edu,75.2.44.127,18.039,119
5/30/2023,aman-near-ralphs,70.95.167.232,ieng6.ucsd.edu,128.54.70.238,72.928,50
5/30/2023,aman-near-ralphs,70.95.167.232,ieng6.ucsd.edu,128.54.70.238,18.974,50
5/30/2023,aman-near-ralphs,70.95.167.232,ieng6.ucsd.edu,128.54.70.238,24.034,50
5/30/2023,aman-near-ralphs,70.95.167.232,ieng6.ucsd.edu,128.54.70.238,20.755,50
5/30/2023,aman-near-ralphs,70.95.167.232,ieng6.ucsd.edu,128.54.70.238,20.383,50
5/30/2023,aman-near-ralphs,70.95.167.232,ieng6.ucsd.edu,128.54.70.238,24.200,50
5/30/2023,aman-near-ralphs,70.95.167.232,ieng6.ucsd.edu,128.54.70.238,25.526,50
5/30/2023,aman-near-ralphs,70.95.167.232,ieng6.ucsd.edu,128.54.70.238,19.433,50
5/30/2023,aman-near-ralphs,70.95.167.232,ieng6.ucsd.edu,128.54.70.238,25.112,50
5/30/2023,aman-near-ralphs,70.95.167.232,ieng6.ucsd.edu,128.54.70.238,22.108,50
5/30/2023,aman-near-ralphs,70.95.167.232,ieng6.ucsd.edu,128.54.70.238,27.834,50
5/30/2023,aman-near-ralphs,70.95.167.232,ieng6.ucsd.edu,128.54.70.238,41.403,50
5/30/2023,aman-near-ralphs,70.95.167.232,ieng6.ucsd.edu,128.54.70.238,136.084,50
5/30/2023,aman-near-ralphs,70.95.167.232,ieng6.ucsd.edu,128.54.70.238,64.771,50
5/30/2023,aman-near-ralphs,70.95.167.232,ieng6.ucsd.edu,128.54.70.238,20.236,50
5/30/2023,aman-near-ralphs,70.95.167.232,24.43.123.71,24.43.123.71,52.328,57
5/30/2023,aman-near-ralphs,70.95.167.232,24.43.123.71,24.43.123.71,13.915,57
5/30/2023,aman-near-ralphs,70.95.167.232,24.43.123.71,24.43.123.71,13.998,57
5/30/2023,aman-near-ralphs,70.95.167.232,24.43.123.71,24.43.123.71,16.133,57
5/30/2023,aman-near-ralphs,70.95.167.232,24.43.123.71,24.43.123.71,15.758,57
5/30/2023,aman-near-ralphs,70.95.167.232,24.43.123.71,24.43.123.71,17.879,57
5/30/2023,aman-near-ralphs,70.95.167.232,24.43.123.71,24.43.123.71,16.369,57
5/30/2023,aman-near-ralphs,70.95.167.232,24.43.123.71,24.43.123.71,13.034,57
5/30/2023,aman-near-ralphs,70.95.167.232,24.43.123.71,24.43.123.71,14.499,57
5/30/2023,aman-near-ralphs,70.95.167.232,24.43.123.71,24.43.123.71,14.923,57
5/30/2023,aman-near-ralphs,70.95.167.232,24.43.123.71,24.43.123.71,28.919,57
5/30/2023,aman-near-ralphs,70.95.167.232,24.43.123.71,24.43.123.71,203.995,57
5/30/2023,aman-near-ralphs,70.95.167.232,24.43.123.71,24.43.123.71,78.829,57
5/30/2023,aman-near-ralphs,70.95.167.232,24.43.123.71,24.43.123.71,50.069,57
5/30/2023,aman-near-ralphs,70.95.167.232,24.43.123.71,24.43.123.71,14.414,57
5/26/2023,sanidli-ak,Unknown,ucsd.edu,99.83.137.54,19,118
5/26/2023,sanidli-ak,Unknown,ucsd.edu,99.83.137.54,43,118
5/26/2023,sanidli-ak,Unknown,ucsd.edu,99.83.137.54,24,118
5/26/2023,sanidli-ak,Unknown,ucsd.edu,99.83.137.54,21,118
5/26/2023,sanidli-ak,Unknown,ucsd.edu,99.83.137.54,19,118
5/26/2023,sanidli-ak,Unknown,ucsd.edu,99.83.137.54,90,118
5/26/2023,sanidli-ak,Unknown,ucsd.edu,99.83.137.54,20,118
5/26/2023,sanidli-ak,Unknown,ucsd.edu,99.83.137.54,19,118
5/26/2023,sanidli-ak,Unknown,ucsd.edu,99.83.137.54,19,118
5/26/2023,sanidli-ak,Unknown,ucsd.edu,99.83.137.54,18,118
5/26/2023,sanidli-ak,Unknown,ucsd.edu,99.83.137.54,23,118
5/26/2023,sanidli-ak,Unknown,ucsd.edu,99.83.137.54,22,118
5/26/2023,sanidli-ak,Unknown,ucsd.edu,99.83.137.54,36,118
5/26/2023,sanidli-ak,Unknown,ucsd.edu,99.83.137.54,23,118
5/26/2023,sanidli-ak,Unknown,ucsd.edu,99.83.137.54,22,118
5/26/2023,sanidli-ak,Unknown,ucsd.edu,99.83.137.54,18,118
5/26/2023,sanidli-ak,Unknown,ucsd.edu,99.83.137.54,23,118
5/26/2023,sanidli-ak,Unknown,ucsd.edu,99.83.137.54,23,118
5/26/2023,sanidli-ak,Unknown,ucsd.edu,99.83.137.54,24,118
5/26/2023,sanidli-ak,Unknown,ucsd.edu,99.83.137.54,22,118
5/26/2023,sanidli-ak,Unknown,ucsd.edu,99.83.137.54,31,118
5/26/2023,sanidli-ak,Unknown,ucsd.edu,99.83.137.54,19,118
5/26/2023,sanidli-ak,Unknown,ucsd.edu,99.83.137.54,17,118
5/26/2023,sanidli-ak,Unknown,ucsd.edu,99.83.137.54,20,118
5/26/2023,sanidli-ak,Unknown,ucsd.edu,99.83.137.54,27,118
5/26/2023,sanidli-ak,Unknown,ucsd.edu,99.83.137.54,22,118
5/26/2023,sanidli-ak,Unknown,ucsd.edu,99.83.137.54,21,118
5/26/2023,sanidli-ak,Unknown,ucsd.edu,99.83.137.54,19,118
5/26/2023,sanidli-ak,Unknown,ucsd.edu,99.83.137.54,20,118
5/26/2023,sanidli-ak,Unknown,ucsd.edu,99.83.137.54,20,118
5/26/2023,sanidli-ak,Unknown,ieng6.ucsd.edu,128.54.70.238,33,50
5/26/2023,sanidli-ak,Unknown,ieng6.ucsd.edu,128.54.70.238,50,50
5/26/2023,sanidli-ak,Unknown,ieng6.ucsd.edu,128.54.70.238,39,50
5/26/2023,sanidli-ak,Unknown,ieng6.ucsd.edu,128.54.70.238,19,50
5/26/2023,sanidli-ak,Unknown,ieng6.ucsd.edu,128.54.70.238,20,50
5/26/2023,sanidli-ak,Unknown,ieng6.ucsd.edu,128.54.70.238,20,50
5/26/2023,sanidli-ak,Unknown,ieng6.ucsd.edu,128.54.70.238,22,50
5/26/2023,sanidli-ak,Unknown,ieng6.ucsd.edu,128.54.70.238,23,50
5/26/2023,sanidli-ak,Unknown,ieng6.ucsd.edu,128.54.70.238,22,50
5/26/2023,sanidli-ak,Unknown,ieng6.ucsd.edu,128.54.70.238,39,50
5/26/2023,sanidli-ak,Unknown,ieng6.ucsd.edu,128.54.70.238,22,50
5/26/2023,sanidli-ak,Unknown,ieng6.ucsd.edu,128.54.70.238,32,50
5/26/2023,sanidli-ak,Unknown,ucsd.edu,99.83.137.54,18,118
5/26/2023,sanidli-ak,Unknown,ucsd.edu,99.83.137.54,19,118
5/26/2023,sanidli-ak,Unknown,ucsd.edu,99.83.137.54,37,118
5/26/2023,sanidli-ak,Unknown,ucsd.edu,99.83.137.54,23,118
5/26/2023,sanidli-ak,Unknown,ucsd.edu,99.83.137.54,46,118
5/26/2023,sanidli-ak,Unknown,ucsd.edu,99.83.137.54,47,118
5/26/2023,sanidli-ak,Unknown,ucsd.edu,99.83.137.54,57,118
5/26/2023,sanidli-ak,Unknown,ucsd.edu,99.83.137.54,19,118
5/26/2023,sanidli-ak,Unknown,ucsd.edu,99.83.137.54,20,118
5/26/2023,sanidli-ak,Unknown,ucsd.edu,99.83.137.54,22,118
5/26/2023,sanidli-ak,Unknown,ucsd.edu,99.83.137.54,20,118
5/26/2023,sanidli-ak,Unknown,ucsd.edu,99.83.137.54,297,118
5/26/2023,sanidli-ak,Unknown,ucsd.edu,99.83.137.54,20,118
5/26/2023,sanidli-ak,Unknown,ucsd.edu,99.83.137.54,21,118
5/26/2023,sanidli-ak,Unknown,ucsd.edu,99.83.137.54,19,118
5/26/2023,sanidli-ak,Unknown,ieng6.ucsd.edu,128.54.70.238,17,50
5/26/2023,sanidli-ak,Unknown,ieng6.ucsd.edu,128.54.70.238,19,50
5/26/2023,sanidli-ak,Unknown,ieng6.ucsd.edu,128.54.70.238,20,50
5/26/2023,sanidli-ak,Unknown,ieng6.ucsd.edu,128.54.70.238,19,50
5/26/2023,sanidli-ak,Unknown,ieng6.ucsd.edu,128.54.70.238,31,50
5/26/2023,sanidli-ak,Unknown,ieng6.ucsd.edu,128.54.70.238,22,50
5/26/2023,sanidli-ak,Unknown,ieng6.ucsd.edu,128.54.70.238,19,50
5/26/2023,sanidli-ak,Unknown,ieng6.ucsd.edu,128.54.70.238,20,50
5/26/2023,sanidli-ak,Unknown,ieng6.ucsd.edu,128.54.70.238,19,50
5/26/2023,sanidli-ak,Unknown,ieng6.ucsd.edu,128.54.70.238,325,50
5/26/2023,sanidli-ak,Unknown,ieng6.ucsd.edu,128.54.70.238,21,50
5/26/2023,sanidli-ak,Unknown,ieng6.ucsd.edu,128.54.70.238,19,50
5/26/2023,sanidli-ak,Unknown,ieng6.ucsd.edu,128.54.70.238,18,50
5/26/2023,sanidli-ak,Unknown,ieng6.ucsd.edu,128.54.70.238,23,50
5/26/2023,sanidli-ak,Unknown,ieng6.ucsd.edu,128.54.70.238,20,50
5/26/2023,sanidli-aman,Unknown,ucsd.edu,75.2.44.127,127.317,119
5/26/2023,sanidli-aman,Unknown,ucsd.edu,75.2.44.127,42.775,119
5/26/2023,sanidli-aman,Unknown,ucsd.edu,75.2.44.127,71.426,119
5/26/2023,sanidli-aman,Unknown,ucsd.edu,75.2.44.127,114.545,119
5/26/2023,sanidli-aman,Unknown,ucsd.edu,75.2.44.127,48.975,119
5/26/2023,sanidli-aman,Unknown,ucsd.edu,75.2.44.127,27.834,119
5/26/2023,sanidli-aman,Unknown,ucsd.edu,75.2.44.127,57.025,119
5/26/2023,sanidli-aman,Unknown,ucsd.edu,75.2.44.127,132.286,119
Unknown,cupertino,Unknown,ucsd.edu,99.83.137.54,6,118
Unknown,cupertino,Unknown,ucsd.edu,99.83.137.54,6,118
Unknown,cupertino,Unknown,ucsd.edu,99.83.137.54,10,118
Unknown,cupertino,Unknown,ucsd.edu,99.83.137.54,9,118
Unknown,cupertino,Unknown,ucsd.edu,99.83.137.54,7,118
Unknown,cupertino,Unknown,ucsd.edu,99.83.137.54,6,118
Unknown,cupertino,Unknown,ucsd.edu,99.83.137.54,8,118
Unknown,cupertino,Unknown,ucsd.edu,99.83.137.54,9,118
Unknown,cupertino,Unknown,ucsd.edu,99.83.137.54,9,118
Unknown,cupertino,Unknown,ucsd.edu,99.83.137.54,11,118
Unknown,cupertino,Unknown,ucsd.edu,99.83.137.54,6,118
Unknown,cupertino,Unknown,ucsd.edu,99.83.137.54,8,118
Unknown,cupertino,Unknown,ucsd.edu,99.83.137.54,50,118
Unknown,cupertino,Unknown,ucsd.edu,99.83.137.54,8,118
Unknown,cupertino,Unknown,ucsd.edu,99.83.137.54,6,118
Unknown,cupertino,Unknown,ieng6.ucsd.edu,128.54.70.238,19,48
Unknown,cupertino,Unknown,ieng6.ucsd.edu,128.54.70.238,20,48
Unknown,cupertino,Unknown,ieng6.ucsd.edu,128.54.70.238,21,48
Unknown,cupertino,Unknown,ieng6.ucsd.edu,128.54.70.238,19,48
Unknown,cupertino,Unknown,ieng6.ucsd.edu,128.54.70.238,22,48
Unknown,cupertino,Unknown,ieng6.ucsd.edu,128.54.70.238,19,48
Unknown,cupertino,Unknown,ieng6.ucsd.edu,128.54.70.238,21,48
Unknown,cupertino,Unknown,ieng6.ucsd.edu,128.54.70.238,23,48
Unknown,cupertino,Unknown,ieng6.ucsd.edu,128.54.70.238,19,48
Unknown,cupertino,Unknown,ieng6.ucsd.edu,128.54.70.238,22,48
Unknown,cupertino,Unknown,ieng6.ucsd.edu,128.54.70.238,22,48
Unknown,cupertino,Unknown,ieng6.ucsd.edu,128.54.70.238,22,48
Unknown,cupertino,Unknown,ieng6.ucsd.edu,128.54.70.238,23,48
Unknown,cupertino,Unknown,ieng6.ucsd.edu,128.54.70.238,21,48
Unknown,cupertino,Unknown,ieng6.ucsd.edu,128.54.70.238,21,48
Unknown,cupertino,Unknown,ucsd.edu,75.2.44.127,6,118
Unknown,cupertino,Unknown,ucsd.edu,75.2.44.127,9,118
Unknown,cupertino,Unknown,ucsd.edu,75.2.44.127,8,118
Unknown,cupertino,Unknown,ucsd.edu,75.2.44.127,7,118
Unknown,cupertino,Unknown,ucsd.edu,75.2.44.127,8,118
Unknown,cupertino,Unknown,ucsd.edu,75.2.44.127,9,118
Unknown,cupertino,Unknown,ucsd.edu,75.2.44.127,7,118
Unknown,cupertino,Unknown,ucsd.edu,75.2.44.127,8,118
Unknown,cupertino,Unknown,ucsd.edu,75.2.44.127,6,118
Unknown,cupertino,Unknown,ucsd.edu,75.2.44.127,8,118
Unknown,cupertino,Unknown,ucsd.edu,75.2.44.127,9,118
Unknown,cupertino,Unknown,ucsd.edu,75.2.44.127,8,118
Unknown,cupertino,Unknown,ucsd.edu,75.2.44.127,9,118
Unknown,cupertino,Unknown,ucsd.edu,75.2.44.127,7,118
Unknown,cupertino,Unknown,ucsd.edu,75.2.44.127,9,118
Unknown,cupertino,Unknown,ieng6.ucsd.edu,128.54.70.238,20,48
Unknown,cupertino,Unknown,ieng6.ucsd.edu,128.54.70.238,22,48
Unknown,cupertino,Unknown,ieng6.ucsd.edu,128.54.70.238,20,48
Unknown,cupertino,Unknown,ieng6.ucsd.edu,128.54.70.238,21,48
Unknown,cupertino,Unknown,ieng6.ucsd.edu,128.54.70.238,20,48
Unknown,cupertino,Unknown,ieng6.ucsd.edu,128.54.70.238,25,48
Unknown,cupertino,Unknown,ieng6.ucsd.edu,128.54.70.238,37,48
Unknown,cupertino,Unknown,ieng6.ucsd.edu,128.54.70.238,21,48
Unknown,cupertino,Unknown,ieng6.ucsd.edu,128.54.70.238,20,48
Unknown,cupertino,Unknown,ieng6.ucsd.edu,128.54.70.238,19,48
Unknown,cupertino,Unknown,ieng6.ucsd.edu,128.54.70.238,19,48
Unknown,cupertino,Unknown,ieng6.ucsd.edu,128.54.70.238,22,48
Unknown,cupertino,Unknown,ieng6.ucsd.edu,128.54.70.238,23,48
Unknown,cupertino,Unknown,ieng6.ucsd.edu,128.54.70.238,27,48
Unknown,cupertino,Unknown,ieng6.ucsd.edu,128.54.70.238,24,48
5/26/2023,downtown-cafe,Unknown,ucsd.edu,99.83.137.54,16,113
5/26/2023,downtown-cafe,Unknown,ucsd.edu,99.83.137.54,17,113
5/26/2023,downtown-cafe,Unknown,ucsd.edu,99.83.137.54,24,113
5/26/2023,downtown-cafe,Unknown,ucsd.edu,99.83.137.54,17,113
5/26/2023,downtown-cafe,Unknown,ucsd.edu,99.83.137.54,18,113
5/26/2023,downtown-cafe,Unknown,ucsd.edu,99.83.137.54,19,113
5/26/2023,downtown-cafe,Unknown,ucsd.edu,99.83.137.54,17,113
5/26/2023,downtown-cafe,Unknown,ucsd.edu,99.83.137.54,25,113
5/26/2023,downtown-cafe,Unknown,ucsd.edu,99.83.137.54,18,113
5/26/2023,downtown-cafe,Unknown,ucsd.edu,99.83.137.54,18,113
5/26/2023,downtown-cafe,Unknown,ucsd.edu,99.83.137.54,20,113
5/26/2023,downtown-cafe,Unknown,ucsd.edu,99.83.137.54,17,113
5/26/2023,downtown-cafe,Unknown,ucsd.edu,99.83.137.54,22,113
5/26/2023,downtown-cafe,Unknown,ucsd.edu,99.83.137.54,18,113
5/26/2023,downtown-cafe,Unknown,ucsd.edu,99.83.137.54,19,113
5/26/2023,downtown-cafe,Unknown,ieng6.ucsd.edu,128.54.70.238,21,54
5/26/2023,downtown-cafe,Unknown,ieng6.ucsd.edu,128.54.70.238,21,54
5/26/2023,downtown-cafe,Unknown,ieng6.ucsd.edu,128.54.70.238,27,54
5/26/2023,downtown-cafe,Unknown,ieng6.ucsd.edu,128.54.70.238,18,54
5/26/2023,downtown-cafe,Unknown,ieng6.ucsd.edu,128.54.70.238,27,54
5/26/2023,downtown-cafe,Unknown,ieng6.ucsd.edu,128.54.70.238,24,54
5/26/2023,downtown-cafe,Unknown,ieng6.ucsd.edu,128.54.70.238,26,54
5/26/2023,downtown-cafe,Unknown,ieng6.ucsd.edu,128.54.70.238,19,54
5/26/2023,downtown-cafe,Unknown,ieng6.ucsd.edu,128.54.70.238,28,54
5/26/2023,downtown-cafe,Unknown,ieng6.ucsd.edu,128.54.70.238,21,54
5/26/2023,downtown-cafe,Unknown,ieng6.ucsd.edu,128.54.70.238,26,54
5/26/2023,downtown-cafe,Unknown,ieng6.ucsd.edu,128.54.70.238,23,54
5/26/2023,downtown-cafe,Unknown,ieng6.ucsd.edu,128.54.70.238,20,54
5/26/2023,downtown-cafe,Unknown,ieng6.ucsd.edu,128.54.70.238,21,54
5/26/2023,downtown-cafe,Unknown,ieng6.ucsd.edu,128.54.70.238,21,54
5/26/2023,downtown-cafe,Unknown,ucsd.edu,99.83.137.54,20,113
5/26/2023,downtown-cafe,Unknown,ucsd.edu,99.83.137.54,18,113
5/26/2023,downtown-cafe,Unknown,ucsd.edu,99.83.137.54,21,113
5/26/2023,downtown-cafe,Unknown,ucsd.edu,99.83.137.54,21,113
5/26/2023,downtown-cafe,Unknown,ucsd.edu,99.83.137.54,20,113
