Date,From,From IP,To,To_IP,Ping Time,TTL
6/3/2023,ping_CA,Unknown (IP of mobile hotspot),Unknown,128.54.70.238,179.225,43
6/3/2023,ping_CA,Unknown (IP of mobile hotspot),Unknown,128.54.70.238,55.004,43
6/3/2023,ping_CA,Unknown (IP of mobile hotspot),Unknown,128.54.70.238,90.702,43
6/3/2023,ping_CA,Unknown (IP of mobile hotspot),Unknown,128.54.70.238,387.719,43
6/3/2023,ping_CA,Unknown (IP of mobile hotspot),Unknown,128.54.70.238,49.444,43
6/3/2023,ping_CA,Unknown (IP of mobile hotspot),Unknown,128.54.70.238,61.829,43
6/3/2023,ping_CA,Unknown (IP of mobile hotspot),Unknown,128.54.70.238,57.916,43
6/3/2023,ping_CA,Unknown (IP of mobile hotspot),Unknown,128.54.70.238,61.168,43
6/3/2023,ping_CA,Unknown (IP of mobile hotspot),Unknown,128.54.70.238,98.419,43
6/3/2023,ping_CA,Unknown (IP of mobile hotspot),Unknown,128.54.70.238,53.097,43
6/3/2023,ping_CA,Unknown (IP of mobile hotspot),Unknown,128.54.70.238,283.092,43
6/3/2023,ping_CA,Unknown (IP of mobile hotspot),Unknown,128.54.70.238,54.233,43
6/3/2023,ping_CA,Unknown (IP of mobile hotspot),Unknown,128.54.70.238,69.116,43
6/3/2023,ping_CA,Unknown (IP of mobile hotspot),Unknown,128.54.70.238,77.619,43
6/3/2023,ping_CA,Unknown (IP of mobile hotspot),Unknown,128.54.70.238,55.079,43
6/3/2023,ping_CA,Unknown (IP of mobile hotspot),Unknown,128.54.70.238,71.906,43
6/3/2023,ping_CA,Unknown (IP of mobile hotspot),Unknown,128.54.70.238,78.336,43
6/3/2023,ping_CA,Unknown (IP of mobile hotspot),Unknown,128.54.70.238,329.137,43
6/3/2023,ping_CA,Unknown (IP of mobile hotspot),Unknown,128.54.70.238,54.94,43
6/3/2023,ping_CA,Unknown (IP of mobile hotspot),Unknown,128.54.70.238,85.013,43
6/3/2023,ping_CA,Unknown (IP of mobile hotspot),Unknown,128.54.70.238,85.445,43
6/3/2023,ping_CA,Unknown (IP of mobile hotspot),Unknown,128.54.70.238,58.761,43
6/3/2023,ping_CA,Unknown (IP of mobile hotspot),Unknown,128.54.70.238,42.989,43
6/3/2023,ping_CA,Unknown (IP of mobile hotspot),Unknown,128.54.70.238,61.274,43
6/3/2023,ping_CA,Unknown (IP of mobile hotspot),Unknown,128.54.70.238,236.681,43
6/3/2023,ping_CA,Unknown (IP of mobile hotspot),Unknown,128.54.70.238,195.496,43
6/3/2023,ping_CA,Unknown (IP of mobile hotspot),Unknown,128.54.70.238,66.734,43
6/3/2023,ping_CA,Unknown (IP of mobile hotspot),Unknown,128.54.70.238,103.662,43
6/3/2023,ping_CA,Unknown (IP of mobile hotspot),Unknown,128.54.70.238,60.352,43
6/3/2023,ping_CA,Unknown (IP of mobile hotspot),Unknown,128.54.70.238,342.817,43
6/3/2023,ping_CA,Unknown (IP of mobile hotspot),Unknown,128.54.70.238,52.763,43
6/3/2023,ping_CA,Unknown (IP of mobile hotspot),Unknown,128.54.70.238,434.411,43
6/3/2023,ping_CA,Unknown (IP of mobile hotspot),Unknown,128.54.70.238,41.269,43
6/3/2023,ping_CA,Unknown (IP of mobile hotspot),Unknown,128.54.70.238,95.89,43
6/3/2023,ping_CA,Unknown (IP of mobile hotspot),Unknown,128.54.70.238,77.45,43
6/3/2023,ping_CA,Unknown (IP of mobile hotspot),Unknown,128.54.70.238,58.279,43
6/3/2023,ping_CA,Unknown (IP of mobile hotspot),Unknown,128.54.70.238,61.624,43
6/3/2023,ping_CA,Unknown (IP of mobile hotspot),Unknown,128.54.70.238,307.354,43
6/3/2023,ping_CA,Unknown (IP of mobile hotspot),Unknown,128.54.70.238,59.423,43
6/3/2023,ping_CA,Unknown (IP of mobile hotspot),Unknown,128.54.70.238,176.974,43
6/3/2023,ping_CA,Unknown (IP of mobile hotspot),Unknown,128.54.70.238,127.148,43
6/3/2023,ping_CA,Unknown (IP of mobile hotspot),Unknown,128.54.70.238,42.491,43
6/3/2023,ping_CA,Unknown (IP of mobile hotspot),Unknown,128.54.70.238,82.25,43
6/3/2023,ping_CA,Unknown (IP of mobile hotspot),Unknown,128.54.70.238,312.143,43
6/3/2023,ping_CA,Unknown (IP of mobile hotspot),Unknown,128.54.70.238,44.965,43
6/3/2023,ping_CB,Unknown (IP of mobile hotspot),Unknown,107.77.227.186,106.348,50
6/3/2023,ping_CB,Unknown (IP of mobile hotspot),Unknown,107.77.227.186,60.376,50
6/3/2023,ping_CB,Unknown (IP of mobile hotspot),Unknown,107.77.227.186,201.254,50
6/3/2023,ping_CB,Unknown (IP of mobile hotspot),Unknown,107.77.227.186,159.355,50
6/3/2023,ping_CB,Unknown (IP of mobile hotspot),Unknown,107.77.227.186,57.795,50
6/3/2023,ping_CB,Unknown (IP of mobile hotspot),Unknown,107.77.227.186,24.526,50
6/3/2023,ping_CB,Unknown (IP of mobile hotspot),Unknown,107.77.227.186,201.096,50
6/3/2023,ping_CB,Unknown (IP of mobile hotspot),Unknown,107.77.227.186,116.32,50
6/3/2023,ping_CB,Unknown (IP of mobile hotspot),Unknown,107.77.227.186,39.525,50
6/3/2023,ping_CB,Unknown (IP of mobile hotspot),Unknown,107.77.227.186,66.142,50
6/3/2023,ping_CB,Unknown (IP of mobile hotspot),Unknown,107.77.227.186,37.103,50
6/3/2023,ping_CB,Unknown (IP of mobile hotspot),Unknown,107.77.227.186,51.618,50
6/3/2023,ping_CB,Unknown (IP of mobile hotspot),Unknown,107.77.227.186,34.469,50
6/3/2023,ping_CB,Unknown (IP of mobile hotspot),Unknown,107.77.227.186,60.907,50
6/3/2023,ping_CB,Unknown (IP of mobile hotspot),Unknown,107.77.227.186,25.97,50
6/3/2023,ping_CB,Unknown (IP of mobile hotspot),Unknown,107.77.227.186,33.016,50
6/3/2023,ping_CB,Unknown (IP of mobile hotspot),Unknown,107.77.227.186,38.743,50
6/3/2023,ping_CB,Unknown (IP of mobile hotspot),Unknown,107.77.227.186,37.591,50
6/3/2023,ping_CB,Unknown (IP of mobile hotspot),Unknown,107.77.227.186,146.382,50
6/3/2023,ping_CB,Unknown (IP of mobile hotspot),Unknown,107.77.227.186,98.093,50
6/3/2023,ping_CB,Unknown (IP of mobile hotspot),Unknown,107.77.227.186,55.978,50
6/3/2023,ping_CB,Unknown (IP of mobile hotspot),Unknown,107.77.227.186,45.585,50
6/3/2023,ping_CB,Unknown (IP of mobile hotspot),Unknown,107.77.227.186,46.278,50
6/3/2023,ping_CB,Unknown (IP of mobile hotspot),Unknown,107.77.227.186,31.17,50
6/3/2023,ping_CB,Unknown (IP of mobile hotspot),Unknown,107.77.227.186,43.268,50
6/3/2023,ping_CB,Unknown (IP of mobile hotspot),Unknown,107.77.227.186,73.205,50
6/3/2023,ping_CB,Unknown (IP of mobile hotspot),Unknown,107.77.227.186,67.621,50
6/3/2023,ping_CB,Unknown (IP of mobile hotspot),Unknown,107.77.227.186,63.866,50
6/3/2023,ping_CB,Unknown (IP of mobile hotspot),Unknown,107.77.227.186,48.148,50
6/3/2023,ping_CB,Unknown (IP of mobile hotspot),Unknown,107.77.227.186,39.469,50
6/3/2023,ping_CB,Unknown (IP of mobile hotspot),Unknown,107.77.227.186,48.824,50
6/3/2023,ping_CB,Unknown (IP of mobile hotspot),Unknown,107.77.227.186,126.245,50
6/3/2023,ping_CB,Unknown (IP of mobile hotspot),Unknown,107.77.227.186,84.343,50
6/3/2023,ping_CB,Unknown (IP of mobile hotspot),Unknown,107.77.227.186,44.821,50
6/3/2023,ping_CB,Unknown (IP of mobile hotspot),Unknown,107.77.227.186,49.358,50
6/3/2023,ping_CB,Unknown (IP of mobile hotspot),Unknown,107.77.227.186,45.411,50
6/3/2023,ping_CB,Unknown (IP of mobile hotspot),Unknown,107.77.227.186,57.84,50
6/3/2023,ping_CB,Unknown (IP of mobile hotspot),Unknown,107.77.227.186,136.608,50
