Date,From,From IP,To,To_IP,Ping Time,TTL
6/3/2023,ping_CA,Unknown (IP of mobile hotspot),Unknown,128.54.70.238,727.115,43
6/3/2023,ping_CA,Unknown (IP of mobile hotspot),Unknown,128.54.70.238,1011.711,43
6/3/2023,ping_CA,Unknown (IP of mobile hotspot),Unknown,128.54.70.238,1010.678,43
6/3/2023,ping_CA,Unknown (IP of mobile hotspot),Unknown,128.54.70.238,1011.151,43
6/3/2023,ping_CA,Unknown (IP of mobile hotspot),Unknown,128.54.70.238,1010.693,43
6/3/2023,ping_CB,Unknown (IP of mobile hotspot),Unknown,107.77.227.186,625.881,50
6/3/2023,ping_CB,Unknown (IP of mobile hotspot),Unknown,107.77.227.186,1009.628,50
6/3/2023,ping_CB,Unknown (IP of mobile hotspot),Unknown,107.77.227.186,310.505,50
6/3/2023,ping_CB,Unknown (IP of mobile hotspot),Unknown,107.77.227.186,537.503,50
6/3/2023,ping_CB,Unknown (IP of mobile hotspot),Unknown,107.77.227.186,630.885,50
6/3/2023,ping_CB,Unknown (IP of mobile hotspot),Unknown,107.77.227.186,533.556,50
